Make/Model,Images,Make,Model,Year,Rating
Dodge Journey,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Journey,2022,
Dodge Challenger,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Challenger,2023,7.8
Dodge Challenger R/T Scat Pack,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Challenger R/T Scat Pack,2023,
Dodge Charger,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Charger,2023,7.4
Dodge Charger SRT Hellcat,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Charger SRT Hellcat,2023,
Dodge Journey,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Journey,2023,
Dodge Challenger,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Challenger,2024,
Dodge Challenger R/T Scat Pack,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Challenger R/T Scat Pack,2024,
Dodge Charger,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Charger,2024,
Dodge Charger SRT Hellcat,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Charger SRT Hellcat,2024,
Dodge Journey,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Journey,2024,
Dodge Challenger,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Challenger,2025,
Dodge Challenger R/T Scat Pack,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Challenger R/T Scat Pack,2025,
Dodge Charger,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Charger,2025,
Dodge Charger SRT Hellcat,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Charger SRT Hellcat,2025,
Dodge Journey,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Dodge,Journey,2025,
Fiat 124 Spider,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider,2019,6.4
Fiat 124 Spider Abarth,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider Abarth,2019,6.8
Fiat 500L,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,500L,2019,5.8
Fiat 124 Spider,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider,2020,6.8
Fiat 124 Spider Abarth,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider Abarth,2020,
Fiat 500L,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,500L,2020,
Fiat 124 Spider,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider,2021,
Fiat 124 Spider Abarth,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider Abarth,2021,
Fiat 500L,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,500L,2021,
Fiat 124 Spider,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider,2022,
Fiat 124 Spider Abarth,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider Abarth,2022,
Fiat 500L,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,500L,2022,
Fiat 124 Spider,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider,2023,
Fiat 124 Spider Abarth,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider Abarth,2023,
Fiat 500L,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,500L,2023,
Fiat 124 Spider,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider,2024,
Fiat 124 Spider Abarth,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider Abarth,2024,
Fiat 500L,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,500L,2024,
Fiat 124 Spider,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider,2025,
Fiat 124 Spider Abarth,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,124 Spider Abarth,2025,
Fiat 500L,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Fiat,500L,2025,
Ford Maverick,https://public.flourish.studio/uploads/2146307/2207a5aa-a6da-43a0-9103-7d5555292f44.svg,Ford,Maverick,2019,
Ford Bronco,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Bronco,2019,
Ford Ecosport,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Ecosport,2019,6.8
Ford Escape,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Escape,2019,7.1
Ford Expedition,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Expedition,2019,7.7
Ford Explorer,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Explorer,2019,7.4
Ford F-150,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-150,2019,8.1
Ford F-250 Super Duty,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-250 Super Duty,2019,7.7
Ford Fiesta,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Fiesta,2019,8.2
Ford Flex,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Flex,2019,7
Ford Fusion,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion,2019,7.9
Ford Fusion Energi,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Energi,2019,6.9
Ford Fusion Hybrid,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Hybrid,2019,7.9
Ford Mustang,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Mustang,2019,7.9
Ford Ranger,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Ranger,2019,6.8
Ford Shelby GT350,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Shelby GT350,2019,8.2
Ford Taurus,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Taurus,2019,6.8
Ford Transit Connect,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Transit Connect,2019,7
Ford Maverick,https://public.flourish.studio/uploads/2146307/2207a5aa-a6da-43a0-9103-7d5555292f44.svg,Ford,Maverick,2020,
Ford Bronco,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Bronco,2020,
Ford Ecosport,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Ecosport,2020,6.8
Ford Escape,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Escape,2020,7.7
Ford Expedition,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Expedition,2020,7.7
Ford Explorer,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Explorer,2020,7.4
Ford F-150,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-150,2020,8.1
Ford F-250 Super Duty,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-250 Super Duty,2020,7.7
Ford Fiesta,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Fiesta,2020,
Ford Flex,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Flex,2020,
Ford Fusion,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion,2020,7.9
Ford Fusion Energi,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Energi,2020,6.9
Ford Fusion Hybrid,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Hybrid,2020,7.7
Ford Mustang,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Mustang,2020,7.6
Ford Ranger,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Ranger,2020,6.8
Ford Shelby GT350,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Shelby GT350,2020,
Ford Taurus,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Taurus,2020,
Ford Transit Connect,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Transit Connect,2020,7
Ford Maverick,https://public.flourish.studio/uploads/2146307/2207a5aa-a6da-43a0-9103-7d5555292f44.svg,Ford,Maverick,2021,
Ford Bronco,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Bronco,2021,8.2
Ford Ecosport,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Ecosport,2021,6.8
Ford Escape,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Escape,2021,7.7
Ford Expedition,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Expedition,2021,7.6
Ford Explorer,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Explorer,2021,7.4
Ford F-150,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-150,2021,8.5
Ford F-250 Super Duty,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-250 Super Duty,2021,7.7
Ford Fiesta,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Fiesta,2021,
Ford Flex,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Flex,2021,
Ford Fusion,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion,2021,
Ford Fusion Energi,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Energi,2021,
Ford Fusion Hybrid,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Hybrid,2021,
Ford Mustang,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Mustang,2021,7.9
Ford Ranger,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Ranger,2021,6.8
Ford Shelby GT350,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Shelby GT350,2021,
Ford Taurus,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Taurus,2021,
Ford Transit Connect,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Transit Connect,2021,7
Ford Maverick,https://public.flourish.studio/uploads/2146307/2207a5aa-a6da-43a0-9103-7d5555292f44.svg,Ford,Maverick,2022,7.3
Ford Bronco,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Bronco,2022,7.9
Ford Ecosport,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Ecosport,2022,
Ford Escape,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Escape,2022,7.7
Ford Expedition,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Expedition,2022,7.5
Ford Explorer,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Explorer,2022,7.4
Ford F-150,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-150,2022,8.5
Ford F-250 Super Duty,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-250 Super Duty,2022,7.7
Ford Fiesta,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Fiesta,2022,
Ford Flex,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Flex,2022,
Ford Fusion,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion,2022,
Ford Fusion Energi,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Energi,2022,
Ford Fusion Hybrid,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Hybrid,2022,
Ford Mustang,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Mustang,2022,7.9
Ford Ranger,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Ranger,2022,6.8
Ford Shelby GT350,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Shelby GT350,2022,
Ford Taurus,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Taurus,2022,
Ford Transit Connect,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Transit Connect,2022,
Ford Maverick,https://public.flourish.studio/uploads/2146307/2207a5aa-a6da-43a0-9103-7d5555292f44.svg,Ford,Maverick,2023,7.3
Ford Bronco,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Bronco,2023,7.9
Ford Ecosport,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Ecosport,2023,
Ford Escape,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Escape,2023,7.8
Ford Expedition,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Expedition,2023,7.5
Ford Explorer,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Explorer,2023,
Ford F-150,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-150,2023,8.5
Ford F-250 Super Duty,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-250 Super Duty,2023,
Ford Fiesta,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Fiesta,2023,
Ford Flex,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Flex,2023,
Ford Fusion,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion,2023,
Ford Fusion Energi,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Energi,2023,
Ford Fusion Hybrid,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Hybrid,2023,
Ford Mustang,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Mustang,2023,7.9
Ford Ranger,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Ranger,2023,6.8
Ford Shelby GT350,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Shelby GT350,2023,
Ford Taurus,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Taurus,2023,
Ford Transit Connect,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Transit Connect,2023,
Ford Maverick,https://public.flourish.studio/uploads/2146307/2207a5aa-a6da-43a0-9103-7d5555292f44.svg,Ford,Maverick,2024,7.4
Ford Bronco,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Bronco,2024,7.9
Ford Ecosport,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Ecosport,2024,
Ford Escape,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Escape,2024,7.8
Ford Expedition,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Expedition,2024,7.5
Ford Explorer,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Explorer,2024,
Ford F-150,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-150,2024,8.5
Ford F-250 Super Duty,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-250 Super Duty,2024,
Ford Fiesta,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Fiesta,2024,
Ford Flex,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Flex,2024,
Ford Fusion,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion,2024,
Ford Fusion Energi,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Energi,2024,
Ford Fusion Hybrid,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Hybrid,2024,
Ford Mustang,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Mustang,2024,7.9
Ford Ranger,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Ranger,2024,8.2
Ford Shelby GT350,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Shelby GT350,2024,
Ford Taurus,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Taurus,2024,
Ford Transit Connect,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Transit Connect,2024,
Ford Maverick,https://public.flourish.studio/uploads/2146307/2207a5aa-a6da-43a0-9103-7d5555292f44.svg,Ford,Maverick,2025,7.4
Ford Bronco,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Bronco,2025,7.9
Ford Ecosport,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Ecosport,2025,
Ford Escape,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Escape,2025,
Ford Expedition,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Expedition,2025,
Ford Explorer,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Explorer,2025,
Ford F-150,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-150,2025,8.5
Ford F-250 Super Duty,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,F-250 Super Duty,2025,
Ford Fiesta,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Fiesta,2025,
Ford Flex,https://public.flourish.studio/uploads/2146307/3424c35d-abbf-43b3-b9ca-e814b38db991.svg,Ford,Flex,2025,
Ford Fusion,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion,2025,
Ford Fusion Energi,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Energi,2025,
Ford Fusion Hybrid,https://public.flourish.studio/uploads/2146307/f0141038-6fe5-475b-b460-f48ecb6b8840.svg,Ford,Fusion Hybrid,2025,
Ford Mustang,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Mustang,2025,7.9
Ford Ranger,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Ranger,2025,8.2
Ford Shelby GT350,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Shelby GT350,2025,
Ford Taurus,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Taurus,2025,
Ford Transit Connect,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Ford,Transit Connect,2025,
Genesis G70,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Genesis,G70,2019,7.9
Genesis G80,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G80,2019,7.6
Genesis G90,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G90,2019,7.8
Genesis G70,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Genesis,G70,2020,7.9
Genesis G80,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G80,2020,7.6
Genesis G90,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G90,2020,
Genesis G70,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Genesis,G70,2021,7.9
Genesis G80,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G80,2021,8
Genesis G90,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G90,2021,7.9
Genesis G70,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Genesis,G70,2022,7.6
Genesis G80,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G80,2022,8
Genesis G90,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G90,2022,7.9
Genesis G70,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Genesis,G70,2023,7.6
Genesis G80,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G80,2023,8
Genesis G90,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G90,2023,
Genesis G70,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Genesis,G70,2024,7.6
Genesis G80,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G80,2024,8
Genesis G90,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G90,2024,
Genesis G70,https://public.flourish.studio/uploads/2146307/a592aa7a-8a10-4e09-84a3-5e39280d4216.svg,Genesis,G70,2025,
Genesis G80,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G80,2025,
Genesis G90,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,Genesis,G90,2025,
GMC Acadia,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,GMC,Acadia,2019,7.4
GMC Canyon,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,GMC,Canyon,2019,7.6
GMC Sierra 1500,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,GMC,Sierra 1500,2019,7.3
GMC Terrain,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,GMC,Terrain,2019,6.5
GMC Yukon,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,GMC,Yukon,2019,6.9
GMC Yukon XL,https://public.flourish.studio/uploads/2146307/6f7e6bab-e8e2-42bf-a779-f36beb3638b9.svg,GMC,Yukon XL,2019,7.4
